task,model,mode,operator_index,operator,grid_index,hyperparameter,cv_rmse_mean
Beer_OriginalExtract_60_KS,PLS,materialized,8,fd_d1,3,4,3.0611244804440636
Beer_OriginalExtract_60_KS,PLS,materialized,8,fd_d1,4,5,3.073664585351349
Beer_OriginalExtract_60_KS,PLS,materialized,8,fd_d1,5,6,3.0784446205645297
Beer_OriginalExtract_60_KS,PLS,materialized,8,fd_d1,6,7,3.0788391818185064
Beer_OriginalExtract_60_KS,PLS,materialized,8,fd_d1,7,8,3.0793597893725666
Beer_OriginalExtract_60_KS,PLS,materialized,8,fd_d1,8,9,3.0796041570001154
Beer_OriginalExtract_60_KS,PLS,materialized,8,fd_d1,9,10,3.0796395002685557
Beer_OriginalExtract_60_KS,PLS,materialized,8,fd_d1,10,11,3.0796544158395585
Beer_OriginalExtract_60_KS,PLS,materialized,8,fd_d1,11,12,3.0796391364465174
Beer_OriginalExtract_60_KS,PLS,materialized,8,fd_d1,12,13,3.079636436133881
Beer_OriginalExtract_60_KS,PLS,materialized,8,fd_d1,13,14,3.079635949379817
Beer_OriginalExtract_60_KS,PLS,materialized,8,fd_d1,14,15,3.079636138370912
Beer_OriginalExtract_60_KS,Ridge,folded,0,identity,0,2.1163753384496148e-07,0.5835265023116423
Beer_OriginalExtract_60_KS,Ridge,folded,0,identity,1,3.719552143505856e-07,0.5835268200226008
Beer_OriginalExtract_60_KS,Ridge,folded,0,identity,2,6.537152411912949e-07,0.5835273784028729
Beer_OriginalExtract_60_KS,Ridge,folded,0,identity,3,1.1489114820232145e-06,0.5835283597617842
Beer_OriginalExtract_60_KS,Ridge,folded,0,identity,4,2.0192241366734657e-06,0.5835300845094169
Beer_OriginalExtract_60_KS,Ridge,folded,0,identity,5,3.5488078741668627e-06,0.5835331157683694
Beer_OriginalExtract_60_KS,Ridge,folded,0,identity,6,6.2370675444166e-06,0.5835384432278741
Beer_OriginalExtract_60_KS,Ridge,folded,0,identity,7,1.0961712477249167e-05,0.5835478062626913
Beer_OriginalExtract_60_KS,Ridge,folded,0,identity,8,1.9265326145368768e-05,0.5835642617973569
Beer_OriginalExtract_60_KS,Ridge,folded,0,identity,9,3.385901539177837e-05,0.5835931822696674
Beer_OriginalExtract_60_KS,Ridge,folded,0,identity,10,5.950757929817246e-05,0.5836440093635044
